,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_NULL_,,,,,,,,,,
STRID_MODE,Mode,Mode,Modus,Modo,Modalità,Modo,拍摄模式,モード,模式,режим
STRID_IMGSize,Image Size,Taille Im.,Auflösung,Tam. Imág.,Dim.Immag.,Image Size,分辨率,サイズ,影像尺寸,размер изображения 
STRID_RESOLUTION,Resolution,Resolution,Auflösung,Resolución,Dimens. Immagine,Resolução,分辨率,解像度,解析度,разрешение
STRID_12M,12M,12M,12M,12M,12M,12M,12M,12M,12M,12M
STRID_10M,10M,10M,10M,10M,10M,10M,10M,10M,10M,10M
STRID_9M,9M,9M,9M,9M,9M,9M,9M,9M,9M,9M
STRID_8M,8M,8M,8M,8M,8M,8M,8M,8M,8M,8M
STRID_7M,7M,7M,7M,7M,7M,7M,7M,7M,7M,7M
STRID_6M,6M,6M,6M,6M,6M,6M,6M,6M,6M,6M
STRID_5M,5M,5M,5M,5M,5M,5M,5M,5M,5M,5M
STRID_4M,4M,4M,4M,4M,4M,4M,4M,4M,4M,4M
STRID_3M,3M,3M,3M,3M,3M,3M,3M,3M,3M,3M
STRID_2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD
STRID_2M,2M,2M,2M,2M,2M,2M,2M,2M,2M,2M
STRID_1M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M
STRID_VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA
STRID_QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA
STRID_D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1
STRID_720P,720P,720P,720P,720P,720P,720P,720P,720P,720P,720P
STRID_1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P
STRID_1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD
STRID_12MWxH,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024
STRID_10MWxH,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736
STRID_9MWxH,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604
STRID_8MWxH,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448
STRID_7MWxH,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304
STRID_6MWxH,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112
STRID_5MWxH,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944
STRID_4MWxH,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704
STRID_3MWxH,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536
STRID_2MHDWxH,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080
STRID_2MWxH,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200
STRID_1MWxH,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960
